Subregión,Municipio,Cantidad,Año
Norte,Alcalá,1,2019
Centro,Andalucía,0,2019
Norte,Ansermanuevo,0,2019
Norte,Argelia,0,2019
Norte,Bolívar,0,2019
Occidente,Buenaventura,3,2019
Centro,Buga,0,2019
Centro,Bugalagrande,0,2019
Oriente,Caicedonia,0,2019
Sur,Cali,10,2019
Sur,Candelaria,2,2019
Norte,Cartago,1,2019
Sur,Dagua,1,2019
Centro,Calima - El Darién,0,2019
Norte,El Águila,0,2019
Norte,El Cairo,0,2019
Centro,El Cerrito,0,2019
Norte,El Dovio,0,2019
Sur,Florida,0,2019
Centro,Ginebra,0,2019
Centro,Guacarí,0,2019
Sur,Jamundí,0,2019
Sur,La Cumbre,0,2019
Norte,La Unión,0,2019
Norte,La Victoria,1,2019
Norte,Obando,0,2019
Sur,Palmira,4,2019
Sur,Pradera,1,2019
Centro,Restrepo,0,2019
Centro,Riofrío,0,2019
Norte,Roldanillo,0,2019
Centro,San Pedro,0,2019
Oriente,Sevilla,0,2019
Norte,Toro,0,2019
Centro,Trujillo,0,2019
Centro,Tuluá,1,2019
Norte,Ulloa,0,2019
Norte,Versalles,0,2019
Sur,Vijes,0,2019
Centro,Yotoco,0,2019
Sur,Yumbo,0,2019
Norte,Zarzal,0,2019
Norte,Alcalá,1,2020
Centro,Andalucía,1,2020
Norte,Ansermanuevo,0,2020
Norte,Argelia,0,2020
Norte,Bolívar,0,2020
Occidente,Buenaventura,2,2020
Centro,Buga,0,2020
Centro,Bugalagrande,0,2020
Oriente,Caicedonia,0,2020
Sur,Cali,20,2020
Sur,Candelaria,0,2020
Norte,Cartago,1,2020
Sur,Dagua,0,2020
Centro,Calima - El Darién,0,2020
Norte,El Águila,0,2020
Norte,El Cairo,0,2020
Centro,El Cerrito,0,2020
Norte,El Dovio,0,2020
Sur,Florida,0,2020
Centro,Ginebra,0,2020
Centro,Guacarí,0,2020
Sur,Jamundí,1,2020
Sur,La Cumbre,2,2020
Norte,La Unión,0,2020
Norte,La Victoria,0,2020
Norte,Obando,0,2020
Sur,Palmira,0,2020
Sur,Pradera,0,2020
Centro,Restrepo,0,2020
Centro,Riofrío,0,2020
Norte,Roldanillo,0,2020
Centro,San Pedro,0,2020
Oriente,Sevilla,0,2020
Norte,Toro,0,2020
Centro,Trujillo,0,2020
Centro,Tuluá,1,2020
Norte,Ulloa,0,2020
Norte,Versalles,0,2020
Sur,Vijes,1,2020
Centro,Yotoco,0,2020
Sur,Yumbo,1,2020
Norte,Zarzal,0,2020
