Año - Semestre,Lugar de Clase,Nivel,Sede,Jornada,Programa Académico,Semestre,Código,Concepto Financiero,Valor del Concepto.
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,CONTADURIA PUBLICA. (310),10,22,MATRICULA,287962
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,CONTADURIA PUBLICA. (310),11,22,MATRICULA,287962
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,CONTADURIA PUBLICA. (310),12,22,MATRICULA,287962
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Diurna,INGENIERIA ELECTRONICA. (240),11,22,MATRICULA,439400
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Diurna,INGENIERIA DE SISTEMAS. (230),11,22,MATRICULA,512633
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Diurna,INGENIERIA INDUSTRIAL. (220),11,22,MATRICULA,512633
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Diurna,COMERCIO INTERNACIONAL. (330),10,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,ADMINISTRACION DE EMPRESAS. (320),10,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,ADMINISTRACION DE EMPRESAS. (320),11,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,ADMINISTRACION DE EMPRESAS. (320),12,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,ADMINISTRACION DE EMPRESAS. (321),10,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,COMERCIO INTERNACIONAL. (330),10,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,COMERCIO INTERNACIONAL. (330),11,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Nocturna,COMERCIO INTERNACIONAL. (330),12,22,MATRICULA,575925
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN AGROPECUARIA AMBIENTAL. (910),4,22,MATRICULA,1212700
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN AGROPECUARIA AMBIENTAL. (910),5,22,MATRICULA,1212700
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN AGROPECUARIA AMBIENTAL. (910),6,22,MATRICULA,1212700
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN LOGISTICA EMPRESARIAL. (930),4,22,MATRICULA,1212700
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN LOGISTICA EMPRESARIAL. (930),5,22,MATRICULA,1212700
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN LOGISTICA EMPRESARIAL. (930),6,22,MATRICULA,1212700
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN AGROPECUARIA AMBIENTAL. (910),3,22,MATRICULA,1219100
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,TECNOLOGIA EN LOGISTICA EMPRESARIAL. (930),3,22,MATRICULA,1219100
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN CIENCIAS SOCIALES. (441),6,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN CIENCIAS SOCIALES. (441),7,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN CIENCIAS SOCIALES. (441),8,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN CIENCIAS SOCIALES. (441),9,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN CIENCIAS SOCIALES. (441),10,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN EDUCACION BASICA CON ENF. (440),6,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN EDUCACION BASICA CON ENF. (440),7,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN EDUCACION BASICA CON ENF. (440),8,22,MATRICULA,1241800
2021 - 2,TULUÁ - (VALLE DEL CAUCA - COLOMBIA),Pregrado,TULUÁ,Fin de semana,LICENCIATURA EN EDUCACION BASICA CON ENF. (440),9,22,MATRICULA,1241800
